Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
BHE1-01PC,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Paper Holder. Finish: Polished Chrome. Packed in White Box.",843512003073,0.00000,30.00000,$8.76,$8.76,$17.53
BHE1-01PC-R,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Paper Holder. Finish: Polished Chrome. Packed in new Retail Box.",843512043451,6.00000,36.00000,$10.52,$10.52,$17.53
BHE1-02PC,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Robe Hook. Finish: Polished Chrome. Packed in White Box.",843512004254,0.00000,60.00000,$4.83,$4.83,$9.67
BHE1-02PC-R,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Robe Hook. Finish: Polished Chrome. Packed in new Retail Box.",843512043468,6.00000,48.00000,$5.80,$5.80,$9.67
BHE1-03PC,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport 18"" Towel Bar. Finish: Polished Chrome. Packed in White Box.",843512004414,0.00000,30.00000,$12.01,$12.01,$24.05
BHE1-03PC-R,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport 18"" Towel Bar. Finish: Polished Chrome. Packed in new Retail Box.",843512043475,6.00000,24.00000,$14.43,$14.43,$24.05
BHE1-04PC,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport 24"" Towel Bar. Finish: Polished Chrome. Packed in White Box.",843512004469,0.00000,20.00000,$13.17,$13.17,$26.32
BHE1-04PC-R,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport 24"" Towel Bar. Finish: Polished Chrome. Packed in new Retail Box.",843512043482,6.00000,24.00000,$15.79,$15.79,$26.32
BHE1-06PC,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Towel Ring. Finish: Polished Chrome. Packed in White Box.",843512004865,0.00000,40.00000,$6.80,$6.80,$13.58
BHE1-06PC-R,"Bath Hardware",BRIDGEPORT,"Elements Bridgeport Towel Ring. Finish: Polished Chrome. Packed in new Retail Box.",843512043499,6.00000,36.00000,$8.15,$8.15,$13.58
