Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
89101-DC,"Carved Wood",,"Squared Furniture Leg, 4-1/8"" Tall, Finish: Dull Chrome with applied rubber bumper and curved frame.",843512016394,1.00000,50.00000,$14.62,$14.62,$24.37
89101-SN,"Carved Wood",,"Squared Furniture Leg, 4-1/8"" Tall, Finish: Satin Nickel with applied rubber bumper and curved frame.",843512016387,1.00000,50.00000,$12.91,$12.91,$21.52
89102-DC,"Carved Wood",,"Rounded Furniture Leg, 4-1/2"" to 4-5/8"" Tall, Finish: Dull Chrome, with applied rubber bumper and curved frame.Height is adjustable",843512009778,1.00000,50.00000,$11.23,$11.23,$18.71
89102-SN,"Carved Wood",,"Rounded Furniture Leg, 4-1/2"" to 4-5/8"" Tall, Finish: Satin Nickel, with applied rubber bumper and curved frame. Height is adjustable.",843512016370,1.00000,50.00000,$10.62,$10.62,$17.70
89104-SN,"Carved Wood",,"4"" Furniture Leg Leveler Adjustable to 4-1/2""Finish: Satin NickelScrews are not included.",843512009525,5.00000,50.00000,$12.65,$12.65,$21.09
AP001-RW,"Carved Wood",,"40"" x 1-1/2"" x 5"" Apron/Valance with applied onlay ONL-01-20 (centered).Species: Rubberwood.",843512016561,0.00000,5.00000,$82.59,$82.59,$137.65
AP001-WB,"Carved Wood",,"40"" x 1-1/2"" x 5"" Apron/Valance with applied onlay ONL-01-20 (centered).Species: White Birch.",843512016578,0.00000,5.00000,$122.55,$122.55,$204.25
APL-02-20-CH,"Carved Wood",,"20"" x 1/4"" x 5-1/2"" Shell Onlay Applique Species: Cherry",843512010125,0.00000,50.00000,$73.73,$73.73,$122.88
APL-02-20-MP,"Carved Wood",,"20"" x 1/4"" x 5-1/2"" Shell Onlay Applique Species: Maple",843512010132,0.00000,50.00000,$69.14,$69.14,$115.24
APL-04-20-CH,"Carved Wood",,"20"" x 1/4"" x 4-1/2"" Onlay Applique Species: Cherry",843512010156,0.00000,50.00000,$69.60,$69.60,$116.00
APL-04-20-MP,"Carved Wood",,"20"" x 1/4"" x 4-1/2"" Onlay Applique Species: Maple",843512010163,0.00000,50.00000,$64.05,$64.05,$106.74
APL-05-L-CH,"Carved Wood",,"10-3/8"" x 1/4"" x 3-1/4"" Left Curved Applique Species: Cherry",843512010248,0.00000,50.00000,$24.74,$24.74,$41.23
APL-05-L-MP,"Carved Wood",,"10-3/8"" x 1/4"" x 3-1/4"" Left Curved Applique Species: Maple",843512010255,0.00000,50.00000,$20.19,$20.19,$33.64
APL-05-R-CH,"Carved Wood",,"10-3/8"" x 1/4"" x 3-1/4"" Right Curved Applique Species: Cherry",843512010279,0.00000,50.00000,$24.74,$24.74,$41.23
APL-05-R-MP,"Carved Wood",,"10-3/8"" x 1/4"" x 3-1/4"" Right Curved Applique Species: Maple",843512010293,0.00000,50.00000,$20.19,$20.19,$33.64
APL-06-CH,"Carved Wood",,"2-1/2"" x 1/2"" x 2-3/4"" Shell Applique Species: Cherry",843512010538,0.00000,100.00000,$13.99,$13.99,$23.32
APL-06-MP,"Carved Wood",,"2-1/2"" x 1/2"" x 2-3/4"" Shell Applique Species: Maple",843512010545,0.00000,100.00000,$12.24,$12.24,$20.40
APL-07-CH,"Carved Wood",,"3-1/8"" x 1/2"" x 2-7/8"" Shell Applique Species: Cherry",843512010569,0.00000,100.00000,$14.16,$14.16,$23.60
APL-07-MP,"Carved Wood",,"3-1/8"" x 1/2"" x 2-7/8"" Shell Applique Species: Maple",843512010576,0.00000,100.00000,$12.54,$12.54,$20.90
APL-08-CH,"Carved Wood",,"3-1/4"" x 5/8"" x 4-3/8"" Shell Applique Species: Cherry",843512010477,0.00000,100.00000,$14.31,$14.31,$23.86
APL-08-MP,"Carved Wood",,"3-1/4"" x 5/8"" x 4-3/8"" Shell Applique Species: Maple",843512010484,0.00000,100.00000,$13.46,$13.46,$22.43
APL-09-CH,"Carved Wood",,"3-1/4"" x 3/4"" x 3-3/4"" Shell Applique Species: Cherry",843512010507,0.00000,100.00000,$16.12,$16.12,$26.87
APL-09-MP,"Carved Wood",,"3-1/4"" x 3/4"" x 3-3/4"" Shell Applique Species: Maple",843512010514,0.00000,100.00000,$14.79,$14.79,$24.65
APL-10-L-CH,"Carved Wood",,"12-1/4"" x 1/4"" x 3""Applique Left Species: Cherry",843512010187,0.00000,50.00000,$28.27,$28.27,$47.11
APL-10-L-MP,"Carved Wood",,"12-1/4"" x 1/4"" x 3""Applique Left Species: Maple",843512010194,0.00000,50.00000,$27.67,$27.67,$46.11
APL-10-R-CH,"Carved Wood",,"12-1/4"" x 1/4"" x 3"" Applique Right Species: Cherry",843512010217,0.00000,50.00000,$28.27,$28.27,$47.11
