Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
0251ABSB,"Decorative Hardware",CORDOVA,"1-3/8"" Diameter Cabinet Knob. Packaged with one 8-32 x 1"" and 1-3/4"" Break-away screw. Finish: Antique Brushed Satin Brass",843512030765,25.00000,200.00000,$3.40,$3.40,$6.80
0251BNBDL,"Decorative Hardware",CORDOVA,"1-3/8"" Diameter Cabinet Knob. Packaged with one 8-32 x 1"" and 1-3/4"" Break-away screw. Finish: Brushed Pewter",843512003349,25.00000,200.00000,$3.40,$3.40,$6.80
0251DBAC,"Decorative Hardware",CORDOVA,"1-3/8"" Diameter Cabinet Knob. Packaged with one 8-32 x 1"" and 1-3/4"" Break-away screw. Finish: Brushed Oil Rubbed Bronze",843512006425,25.00000,200.00000,$3.40,$3.40,$6.80
0251SN,"Decorative Hardware",CORDOVA,"1-3/8"" Diameter Cabinet Knob. Packaged with one 8-32 x 1"" and 1-3/4"" Break-away screw. Finish: Satin Nickel",843512006432,25.00000,200.00000,$3.40,$3.40,$6.80
1018-AB,"Decorative Hardware",KINGSPORT,"4-7/16"" Overall Length Cabinet Pull. Holes are 3"" center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish: Brushed Antique Brass",843512005237,25.00000,250.00000,$2.01,$2.01,$4.02
105-128BG,"Decorative Hardware",Gibson,"5-1/2"" Overall Length Cabinet Pull.  Holes are 128 mm center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish:  BG",840002556941,10.00000,100.00000,$4.92,$4.92,$9.84
105-128BNBDL,"Decorative Hardware",Gibson,"5-1/2"" Overall Length Cabinet Pull.  Holes are 128 mm center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish:  BNBDL",840002556958,10.00000,100.00000,$4.92,$4.92,$9.84
105-128MB,"Decorative Hardware",Gibson,"5-1/2"" Overall Length Cabinet Pull.  Holes are 128 mm center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish:  MB",840002556965,10.00000,100.00000,$4.92,$4.92,$9.84
105-128PC,"Decorative Hardware",Gibson,"5-1/2"" Overall Length Cabinet Pull.  Holes are 128 mm center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish:  PC",840002556972,10.00000,100.00000,$4.92,$4.92,$9.84
105-128SBZ,"Decorative Hardware",Gibson,"5-1/2"" Overall Length Cabinet Pull.  Holes are 128 mm center-to-center. Packaged with two 8-32 x 1"" and two Break-away screws. Finish:  SBZ",840002556989,10.00000,100.00000,$4.92,$4.92,$9.84
