Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
0128AB,"Functional Hardware",,"3/4"" Frame x 3/4"" Door Flush Hinge Finish:Antique Brass",840002530552,0.00000,250.00000,$2.00,$1.74,$2.89
0128DBAC,"Functional Hardware",,"3/4"" Frame x 3/4"" Door Flush Hinge Finish:Dark Brushed Antique Copper",840002530569,0.00000,250.00000,$2.28,$1.98,$3.30
0128MB,"Functional Hardware",,"3/4"" Frame x 3/4"" Door Flush Hinge Finish:Matte Black",840002530576,0.00000,250.00000,$2.00,$1.74,$2.89
0128SN,"Functional Hardware",,"3/4"" Frame x 3/4"" Door Flush Hinge Finish:Satin Nickel",840002530583,0.00000,250.00000,$2.00,$1.74,$2.89
0138MB,"Functional Hardware",,"*NRB* 3/4"" Frame x 3/4"" Door Flush Hinge Finish: Matte Black.Ball Tip.",840002531221,20.00000,200.00000,$2.58,$2.24,$3.74
0138SN,"Functional Hardware",,"3/4"" Frame x 3/4"" Door Flush Hinge Finish:Satin Nickel.Ball Tip.",840002531245,20.00000,200.00000,$3.55,$3.09,$5.15
0148AB,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Antique Brass",840002530484,0.00000,250.00000,$2.00,$1.74,$2.89
0148DBAC,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Dark Brushed Antique Copper",840002530491,0.00000,250.00000,$2.55,$2.22,$3.70
0148MB,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Matte Black",840002530507,0.00000,250.00000,$2.28,$1.98,$3.30
0148SN,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Satin Nickel",840002530514,0.00000,250.00000,$2.28,$1.98,$3.30
0158DBAC,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Ball Tip.Finish: Dark Brushed Antique Copper",840002532754,50.00000,300.00000,$4.46,$3.88,$6.47
0158NI,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Ball Tip.Finish: Nickel",840002532761,50.00000,300.00000,$4.47,$3.89,$6.49
0158SN,"Functional Hardware",,"Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Ball Tip.Finish: Satin Nickel",840002532778,50.00000,300.00000,$4.47,$3.89,$6.49
0178NI,"Functional Hardware",,"4"" Overall Height Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Nickel",840002532488,50.00000,200.00000,$4.42,$3.84,$6.40
0178SN,"Functional Hardware",,"4"" Overall Height Full Inset Partial Wrap 3/4"" Flush Hinge with Decorative Finial Tip.Finish: Satin Nickel",840002532495,50.00000,200.00000,$4.42,$3.84,$6.40
02701,"Functional Hardware",,"Ship Pin for holding shelf in place.57.6 height x 40.6 depth x 14.6 width. MOQ: 5,000",840002532945,1000.00000,5000.00000,$0.07,$0.06,$0.11
1005194-B,"Functional Hardware",,"13.2mm Pan Head Euro Screw #2 Pozi - With Shoulder Finish: Bright Nickel",840002514439,2.50000,10.00000,$39.99,$34.77,$57.95
103559BN,"Functional Hardware",,"1-11/16"" Drawer Box ClipFinish:Bright Nickel",840002504607,0.00000,1.00000,$307.76,$267.62,$446.04
103841BN,"Functional Hardware",,"1-5/16"" Drawer Box Clip",840002504614,0.00000,1.00000,$428.02,$372.19,$620.32
1060BR,"Functional Hardware",,"*NRB* 7/8"" Drawer Lock Finish:Brass Keyed Alike",840002533010,0.00000,250.00000,$4.14,$3.60,$6.00
1060CH,"Functional Hardware",,"7/8"" Drawer Lock Finish:Chrome Keyed Different",840002533027,0.00000,250.00000,$5.11,$4.44,$7.41
10FW-B,"Functional Hardware",,"#10 Finishing Washer.  Finish:  Nickel.",840002514415,6.00000,24.00000,$50.90,$44.26,$73.77
10X3000W,"Functional Hardware",,"#10 x 3"" Round Washer Head Square/Phillips Combo Drive.Finish:Brown Wax w/ Type 17 Tip.",840002527569,0.00000,1.60000,$124.95,$108.65,$181.08
