Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
161,"Light & Power",,"**NRB**  3 WATT LAMPS (PACK OF 10)",840002546652,1.00000,1.00000,$10.97,$10.97,$14.63
168,"Light & Power",,"**NRB** 5 WATT LAMPS (PACK OF 10)",840002546669,1.00000,1.00000,$10.97,$10.97,$14.63
APS-BLANK-P-BK,"Light & Power",,"APS BLANK FILLER",,1.00000,1.00000,$32.26,$32.26,$43.13
APS-BLANK-P-BZ,"Light & Power",,"APS BLANK FILLER",,1.00000,1.00000,$32.26,$32.26,$43.13
APS-BLANK-P-SN,"Light & Power",,"**NRB**OLD STYLE APS BLANK FILLER",,1.00000,1.00000,$32.26,$32.26,$43.13
APS-BLANK-P-WT,"Light & Power",,"APS BLANK FILLER",,1.00000,1.00000,$32.26,$32.26,$43.13
APS-SWITCH-BK,"Light & Power",,"ON-OFF 16 AMP ROCKER SWITCH BLACK6"" LEAD / 3"" LEAD / HEAT SN",,1.00000,1.00000,$17.94,$17.94,$23.93
APS-SWITCH-GR,"Light & Power",,"""ON-OFF 16 AMP ROCKER SWITCH6"""" LEAD / 3"""" LEAD / HEAT SN""",,0.00000,1.00000,$17.94,$17.94,$23.93
APS-SWITCH-WT,"Light & Power",,"ON-OFF 16 AMP ROCKER SWITCH6"" LEAD / 3"" LEAD / HEAT SN",,1.00000,250.00000,$17.94,$17.94,$23.93
APT12-2B-P-BK-L,"Light & Power",,"12"" APT, BK finish, BK single receptacles, LFT wire entry",840002524988,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2B-P-BK-R,"Light & Power",,"12"" APT, BK finish, BK single receptacles, RT wire entry",840002524995,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2B-P-BZ-L,"Light & Power",,"12"" APT, BZ finish, BK single receptacles, LFT wire entry",840002525008,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2B-P-BZ-R,"Light & Power",,"12"" APT, BZ finish, BK single receptacles, RT wire entry",840002525015,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2G-P-SN-L,"Light & Power",,"12"" APT, SN finish, GRY single receptacle, LFT wire entry",840002525022,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2G-P-SN-R,"Light & Power",,"12"" APT, SN finish, GRY single receptacle, RT wire entry",840002525039,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2W-P-WT-L,"Light & Power",,"12"" APT, WT finish, WT single receptacles, LFT wire entry",840002525060,1.00000,6.00000,$146.04,$146.04,$195.24
APT12-2W-P-WT-R,"Light & Power",,"12"" APT, WT finish, WT single receptacles, RT wire entry",840002525077,1.00000,6.00000,$146.04,$146.04,$195.24
APT18-3B-P-BK-L,"Light & Power",,"18"" APT, BK finish, BK single receptacles, LFT wire entry",840002525145,1.00000,6.00000,$159.72,$159.72,$213.54
APT18-3B-P-BK-R,"Light & Power",,"18"" APT, BK finish, BK single receptacles, RT wire entry",840002525152,1.00000,6.00000,$159.72,$159.72,$213.54
APT18-3B-P-BZ-L,"Light & Power",,"18"" APT, BZ finish, BK single receptacles, LFT wire entry",840002525169,1.00000,6.00000,$159.72,$159.72,$213.54
APT18-3B-P-BZ-R,"Light & Power",,"18"" APT, BZ finish, BK single receptacles, RT wire entry",840002525176,1.00000,6.00000,$159.72,$159.72,$213.54
