Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
12QTRALD,Moulding,,"1/2"" x 3/4"" Quarter Round. Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",843512041457,40.00000,480.00000,$1.79,$1.56,$2.60
12QTRCH,Moulding,,"***NRB***1/2"" x 3/4"" Quarter Round. Species: Cherry. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537551,0.00000,40.00000,$1.60,$1.39,$2.32
12QTRHMP,Moulding,,"1/2"" x 3/4"" Quarter Round. Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537537,40.00000,480.00000,$1.43,$1.24,$2.07
12QTROK,Moulding,,"1/2"" x 3/4"" Quarter Round. Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537544,40.00000,480.00000,$0.97,$0.84,$1.40
12QTRPOP,Moulding,,"1/2"" x 3/4"" Quarter Round. Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537568,40.00000,480.00000,$0.90,$0.78,$1.30
34QTRALD,Moulding,,"3/4"" x 3/4"" Quartered Moulding. Species: Alder. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537582,40.00000,240.00000,$3.53,$3.07,$5.11
34QTRHMP,Moulding,,"3/4"" x 3/4"" Quartered Moulding. Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537575,40.00000,240.00000,$2.21,$1.92,$3.20
34QTROK,Moulding,,"3/4"" x 3/4"" Quartered Moulding.  Species: Oak. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",843512044403,40.00000,240.00000,$1.74,$1.51,$2.51
34QTRPOP,Moulding,,"3/4"" x 3/4"" Quartered Moulding. Species: Poplar. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 40 LF (5 sticks).",840002537605,40.00000,240.00000,$1.44,$1.25,$2.08
BASE1-4-HMP,Moulding,,"*NRB* 5/8"" x 4"" Base Moulding with Cove Cut Out, Species: Hard Maple. Priced by the linear foot and sold by the 8 ft stick. Sold in multiples of 24 LF (3 sticks).",840002546928,0.00000,24.00000,$11.29,$9.82,$16.36
