Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
100096ORB-2,Organizers,,"*NRB* 1"" Diameter x 1.2mm Thick x 8 ft Round Aluminum Closet Rod",843512070730,0.00000,6.00000,$16.65,$16.65,$37.00
100096ORB-24,Organizers,,"4 Boxes of 6 Dark Bronze 1"" Diameter x  8'  Long Round Aluminum Closet Rods",196734033756,0.00000,1.00000,$303.24,$303.24,$866.40
100096ORB-6,Organizers,,"Box of 6 1"" Diameter x 1.2mm Thick x 8 ft Round Aluminum Closet Rod",196734033763,0.00000,1.00000,$99.92,$99.92,$222.05
111612CH,Organizers,,"14 Gauge Round Closet Tubing.1-1/16"" Diameter x 12 ft Long. 2 mm Thickness",843512037870,0.00000,6.00000,$36.55,$36.55,$81.23
111612CH-48,Organizers,,"8 Boxes of 6 Chrome 1-1/16"" Diameter x 12' Long Round Steel Closet Rods-48 Rods Total. MUST SHIP LTL",196734033770,1.00000,1.00000,"$1,754.44","$1,754.44","$3,898.75"
111612MB,Organizers,,"Matte Black1-1/16"" Diameter x 12' Long Round Steel Closet Rod",196734033992,0.00000,6.00000,$35.26,$35.26,$78.35
111612MB-48,Organizers,,"8 Boxes of 6 Matte Black1-1/16"" Diameter x 12' Long Round Steel Closet Rods",196734035194,1.00000,1.00000,"$1,692.49","$1,692.49","$3,761.08"
111692CH-6,Organizers,,"1-1/16""x92"" Round Chrome Steel 1 Box of 6 Closet Rods        Same as item 111696CH-6 but in 92in length. Minimum order of 1 box of 6 rods. Each item number is 1 box of 6 rods. No broken boxes.",196734039642,0.00000,1.00000,$124.45,$124.45,$276.55
111692MB-6,Organizers,,"1-1/16""x92"" Round Matte Black Steel 1 Box of 6 Closet Rods   Same as item 111696MB-6 but in 92in length. Minimum order of 1 box of 6 rods. Each item number is 1 box of 6 rods. No broken boxes.",196734039659,0.00000,1.00000,$124.45,$124.45,$276.55
111696CH-2,Organizers,,"14 Gauge Round Closet Tubing.1-1/16"" Diameter x 8 ft Long",843512070754,0.00000,6.00000,$21.92,$21.92,$48.71
111696CH-24,Organizers,,"4 Boxes of 6 Chrome 1-1/16"" Diameter x 8' Long Round Steel Closet Rods",196734033787,0.00000,1.00000,$525.99,$525.99,"$1,168.86"
111696CH-6,Organizers,,"Box of 6 14 Gauge Round Closet Tubing.1-1/16"" Diameter x 8 ft Long",196734033794,0.00000,0.00000,$131.50,$131.50,$292.22
111696MB,Organizers,,"Matte Black1-1/16"" Diameter x 8' Long Round Steel Closet Rod",196734034005,0.00000,6.00000,$21.65,$21.65,$48.09
111696MB-24,Organizers,,"4 Boxes of 6 Matte Black1-1/16"" Diameter x 8' Long Round Steel Closet Rods",196734035200,0.00000,1.00000,$519.44,$519.44,"$1,154.31"
