Product,"Master Class",Collection,Description,"UPC Code","Inner Quantity","Outer Quantity","2026 Broken Carton Price","2026 Full Carton Price","2026 List Price"
801L,Sinks,,"Stainless Steel 16-Gauge Undermount Kitchen Sink with Two Unequal Bowls. No welding Overall Measurements: 32"" x 20-3/4"". Large (Left) Bowl Measurements: 15-3/4"" x 18-3/4"" x 9"" . Small (Right) Bowl Measurements: 13"" x 16-1/2"" x 7-1/2"" Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-. *UPC Certified Please note that this item must be shipped via common carrier.",843512025150,0.00000,1.00000,$284.99,$284.99,$474.98
801L-18,Sinks,,"Stainless Steel 18-Gauge Undermount Kitchen Sink with Two Unequal Bowls. Overall Measurements: 32"" x 20-3/4"". Large (Left) Bowl Measurements: 15-3/4"" x 18-3/4"" x 9"" . Small (Right) Bowl Measurements: 13"" x 16-1/2"" x 7-1/4"" Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061158,0.00000,1.00000,$218.88,$218.88,$364.80
801R-18,Sinks,,"Stainless Steel 18-Gauge Undermount Kitchen Sink with Two Unequal Bowls. Overall Measurements: 32"" x 20-3/4"". Large (Right) Bowl Measurements: 15-3/4"" x 18-3/4"" x 9"" . Small (Left) Bowl Measurements: 13"" x 16-1/2"" x 7-1/4"" Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061165,0.00000,1.00000,$218.88,$218.88,$364.80
802,Sinks,,"Stainless Steel 16-Gauge Undermount Kitchen Sink with Two Equal Bowls. Overall Measurements: 32-1/4"" x 18-1/2"" x 9"". Two Equal Bowls Measuring: 14-1/2"" x 16-1/2"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512025518,0.00000,1.00000,$284.99,$284.99,$474.98
802-18,Sinks,,"Stainless Steel  18-Gauge Undermount Kitchen Sink with Two Equal Bowls. Overall Measurements: 32-1/4"" x 18-1/2"" x 9"". Two Equal Bowls Measuring: 14-1/2"" x 16-1/2"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512061141,0.00000,1.00000,$218.88,$218.88,$364.80
807L,Sinks,,"Stainless Steel 18-Gauge Undermount Kitchen Sink with Two Unequal Bowls. Overall Measurements: 31-1/2"" x 20-1/2"". Large (Left) Bowl Measurements: 17-3/4"" x 18-1/2"" x 9"". Small (Right) Bowl Measurements: 10-1/2"" x 16"" x 7"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified  Please note that this item must be shipped via common carrier.",843512032967,0.00000,1.00000,$284.99,$284.99,$474.98
861,Sinks,,"Stainless Steel 18-Gauge Undermount Large Utility Sink. 304 SS with Satin Finish. Overall Measurements: 23-1/4"" x 20-7/8"" x 9"". Bowl Measurements: 21-1/4"" x 18-7/8"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified  Please note that this item must be shipped via common carrier.",843512032974,0.00000,1.00000,$263.58,$263.58,$439.30
862,Sinks,,"Stainless Steel 18-Gauge Undermount Utility Sink. 304 SS with Satin Finish. Overall Measurements: 23-1/2"" x 17-3/4"" x 9"". Bowl Measurements: 21-1/2"" x 15-3/4"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified Please note that this item must be shipped via common carrier.",843512025235,0.00000,1.00000,$227.80,$227.80,$379.67
863,Sinks,,"Stainless Steel 18-Gauge Undermount Utility Sink. 304 SS with Satin Finish. Overall Measurements: 19-3/4"" x 20-1/2"" x 9"". Bowl Measurements: 17-3/4"" x 18-1/2"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *does not comply with UPC Certification Please note that this item must be shipped via common carrier.",843512025228,0.00000,1.00000,$227.80,$227.80,$379.67
868,Sinks,,"Stainless Steel 18-Gauge Undermount Rectangular Utility Sink. 304 SS with Satin Finish. Overall Measurements: 30"" x 18"" x 9"". Bowl Measurements: 28"" x 16"" x 9"". Drain Opening: 3-1/2"". Insulated Bottom. Template & Mounting Clips Included. Strainer Sold Separately, part # STRAINER-200. *UPC Certified  Please note that this item must be shipped via common carrier.",843512028878,0.00000,1.00000,$317.15,$317.15,$528.59
