CODE,STOCK NAME,FINISH,PRICE PER SQ.FT,PRICE PER BOX/SLAB,SQ.FT PER BOX,PIECES PER BOX,COLLECTION,THICKNESS
MXCER-101,Pantheon Porcelain Tile 12x24,Honed,$4.00,$46.48,11.62,6,Antique Marble Series/Florim,10mm
MXCER-102,Pantheon Porcelain Tile 12x24,Polished,$4.10,$47.64,11.62,6,Antique Marble Series/Florim,10mm
MXCER-103,Calacatta Pure Porcelain Tile 12x24,Honed,$4.00,$46.48,11.62,6,Antique Marble Series/Florim,10mm
MXCER-97,Carrara Ghost Porcelain Tile 12x24,Honed,$4.00,$46.48,11.62,6,Antique Marble Series/Florim,10mm
MXCER-99,Imperial White Porcelain Tile 12x24,Honed,$4.00,$46.48,11.62,6,Antique Marble Series/Florim,10mm
MXCER-104,Calacatta Pure Porcelain Tile 12x24,Polished,$4.10,$47.64,11.62,6,Antique Marble Series/Florim,10mm
MXCER-98,Carrara Ghost Porcelain Tile 12x24,Polished,$4.10,$47.64,11.62,6,Antique Marble Series/Florim,10mm
MXCER-100,Imperial White Porcelain Tile 12x24,Polished,$4.10,$47.64,11.62,6,Antique Marble Series/Florim,10mm
MXCER23,Ardennes Blanco Porcelain Tile 10X40,Honed,$2.25,$17.91,7.96,3,Ardennes Century Series/Keraben,10.3mm
MXCER-50,Ardennes Tortora Porcelain Tile 10X40,Honed,$2.25,$17.91,7.96,3,Ardennes Century Series/Keraben,10.3mm
MXCER-5-1,Ardennes Century Porcelain Tile 10X40,Honed,$2.25,$17.91,7.96,3,Ardennes Century Series/Keraben,10.3mm
MXCER-51,Ardennes Castano Porcelain Tile 10X40,Honed,$2.25,$17.91,7.96,3,Ardennes Century Series/Keraben,10.3mm
MXCER-63,Ardesie Dark Porcelain Tile 12x24,R11,$4.15,$48.22,11.62,6,Ardesie Series/Rondine,9.5mm
MXCER-60,Ardesie Dark Porcelain Tile 24x48,Honed,$4.25,$65.88,15.50,2,Ardesie Series/Rondine,9.5mm
MXCER-64,Ardesie Grey Porcelain Tile 12x24,R11,$4.15,$48.22,11.62,6,Ardesie Series/Rondine,9.5mm
MXCER-62,Ardesie Grey Porcelain Tile 24x48,Honed,$4.25,$65.88,15.50,2,Ardesie Series/Rondine,9.5mm
MXCER-65,Ardesie Taupe Porcelain Tile 12x24,R11,$4.15,$48.22,11.62,6,Ardesie Series/Rondine,9.5mm
MXCER-59,Ardesie Taupe Porcelain Tile 24x48,Honed,$4.25,$65.88,15.50,2,Ardesie Series/Rondine,9.5mm
MXCER-66,Ardesie White Porcelain Tile 12x24,R11,$4.15,$48.22,11.62,6,Ardesie Series/Rondine,9.5mm
MXCER-61,Ardesie White Porcelain Tile 24x48,Honed,$4.25,$65.88,15.50,2,Ardesie Series/Rondine,9.5mm
MXAZU-103,Atlantis Beige Matte Porcelain Tile 24x48,Matte,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXAZU-103R,Atlantis Beige R11 Porcelain Tile 24x48,R11,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXAZU-102,Atlantis Taupe Matte Porcelain Tile 24x48,Matte,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXAZU-102R,Atlantis Taupe R11 Porcelain Tile 24x48,R11,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXAZU-101,Atlantis White Matte Porcelain Tile 24x48,Matte,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXAZU-101R,Atlantis White R11 Porcelain Tile 24x48,R11,$4.40,$68.11,15.48,2,Atlantis Series / Azuvi,8.5mm
MXCER-170,Baltic Beige Porcelain Tile 24x48,Honed,$5.40,$83.59,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-169,Baltic Beige Strong Porcelain Tile 24x48,R11,$5.50,$85.14,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-215,Baltic Grey Porcelain Tile 40x40,Honed,$5.60,$120.40,21.50,2,Baltic Series/Rondine,8.5mm
MXCER-172,Baltic Taupe Porcelain Tile 24x48,Honed,$5.40,$83.59,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-171,Baltic Taupe Strong Porcelain Tile 24x48,R11,$5.50,$85.14,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-168,Baltic White Porcelain Tile 24x48,Honed,$5.65,$87.46,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-216,Baltic White Porcelain Tile 40x40,Honed,$5.60,$120.40,21.50,2,Baltic Series/Rondine,8.5mm
MXCER-167,Baltic White Strong Porcelain Tile 24x48,R11,$5.75,$89.01,15.48,2,Baltic Series/Rondine,8.5mm
MXCER-250,Buildtech Mud (CE) Porcelain Tile 24x24,Soft,$4.60,$53.41,11.61,3,Buildtech Series/Florim,8.5mm
MXCER-153,Buildtech White (CE) Porcelain Tile 12x24,Soft,$4.50,$52.25,11.61,6,Buildtech Series/Florim,8.5mm
MXCER-154,Buildtech White (CE) Porcelain Tile 24x24,Soft,$4.60,$53.41,11.61,3,Buildtech Series/Florim,8.5mm
MXCER-49,Azulev Calacatta Branches Porcelain Tile 10X25,Matte,$2.25,$33.86,15.05,9,Calacatta Series/Azulev,8.5mm
MXCER-48,Azulev Calacatta Porcelain Tile 10X25,Matte,$2.25,$33.86,15.05,9,Calacatta Series/Azulev,8.5mm
MXCER-47,Azulev Calacatta Porcelain Tile 24X24,Matte,$2.25,$26.12,11.61,3,Calacatta Series/Azulev,8.5mm
MXCERSLB-107,Florim White Finish 63X126 Matte Porcelain Slab | 12Mm,Matte,$16.35,,SLAB,1,"Color Slab Series / Florim, Florim Porcelain Slabs",12mm
MX12203-400,Cosmopolitan Steel Grey Mix 4X16 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12303-400,Cosmopolitan Steel Grey Mix Semi 4X16 Polished Porcelain Tile | 8.5Mm,Semi Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12203,Cosmopolitan Steel Grey 4X16 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12303,Cosmopolitan Steel Grey Semi 4X16 Polished Porcelain Tile | 8.5Mm,Semi Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12200-400,Cosmopolitan White Mix 4X16 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12300-400,Cosmopolitan White Mix Semi 4X16 Polished Porcelain Tile | 8.5Mm,Semi Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12200,Cosmopolitan White 4X16 Polished Porcelain Tile | 8.5Mm,Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MX12300,Cosmopolitan White Semi 4X16 Polished Porcelain Tile | 8.5Mm,Semi Polished,$2.00,$25.84,12.92,30,Cosmopolitan Series / Cinca,8.5mm
MXCER-191,Crackle Beige Porcelain Tile 4x12,Polished,$2.00,$27.10,13.55,42,Crackle Series/Cinca,8mm
MXCER-192,Crackle Blue Porcelain Tile 4x12,Polished,$2.00,$27.10,13.55,42,Crackle Series/Cinca,8mm
MXCER-193,Crackle Electric Blue Porcelain Tile 4x12,Polished,$2.00,$27.10,13.55,42,Crackle Series/Cinca,8mm
MXCER-194,Crackle White Porcelain Tile 4x12,Polished,$2.00,$27.10,13.55,42,Crackle Series/Cinca,8mm
MXCER-162,Crayons Mist Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-158,Crayons Old Lace Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-157,Crayons Hazelnut Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-159,Crayons Primrose Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-163,Crayons Milk Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-160,Crayons Buttercream Porcelain Tile 16x48,Matte,$2.75,$85.14,30.96,6,Crayons Series/Florim,6mm
MXCER-221,Cruda Brick Beige Porcelain Tile 2X8 R10B (4.8x20cm),Matte,$5.60,$28.90,5.16,50,Cruda Brick Series / Rondine,0.374 (9.5 mm)
MXCER-222,Cruda Brick Sabbia Porcelain Tile 2X8 R10B (4.8x20cm),Matte,$5.60,$28.90,5.16,50,Cruda Brick Series / Rondine,0.374 (9.5 mm)
MXCER-223,Cruda Brick Tortora Porcelain Tile 2X8 R10B (4.8x20cm),Matte,$5.60,$28.90,5.16,50,Cruda Brick Series / Rondine,9.5mm
MXCER-224,Cruda Brick Bianco Porcelain Tile 2X8 R10B (4.8x20cm),Matte,$5.60,$28.90,5.16,50,Cruda Brick Series / Rondine,9.5mm
MXCER-217,Cruda Beige Porcelain Tile 24x48 R10B (60x120cm),Matte,$5.50,$85.14,15.48,2,Cruda Series / Rondine,8.5mm
MXCER-218,Cruda Sabbia Porcelain Tile 24x48 R10B (60x120cm),Matte,$5.50,$85.14,15.48,2,Cruda Series / Rondine,8.5mm
MXCER-219,Cruda Tortora Porcelain Tile 24x48 R10B (60x120cm),Matte,$5.50,$85.14,15.48,2,Cruda Series / Rondine,8.5mm
