MARBLE,,,,,,
SKU,Description,Size,Finish,Thickness,Price,Type
MX116,AFYON SUGAR POLISHED 12X12,12x12,Polished,"3/8"" (8.5mm)",$8.80,Tile
MX117,AFYON SUGAR POLISHED 18X18,18x18,Polished,"1/2""",$9.90,Tile
MX111,AFYON SUGAR POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$19.00,Slab
MX152T,ANTIQUE BOTTICINO 3X6 TUMBLED SUBWAY,3x6,Tumbled,"3/8"" (8.5mm)",$4.70,Subway tile
MX127,ANTIQUE BOTTOCINO 4X4 TUMBLED,4x4,Tumbled,"3/8"" (8.5mm)",$5.70,Tile
MX128,ANTIQUE BOTTOCINO 6X6 TUMBLED,6x6,Tumbled,"3/8"" (8.5mm)",$4.70,Tile
MX139,ANTIQUE CREMA MARFIL 3X6 TUMBLED SUBWAY,3x6,Tumbled,"3/8"" (8.5mm)",$4.70,Subway tile
MX137,ANTIQUE CREMA MARFIL 4X4 TUMBLED,4x4,Tumbled,"3/8"" (8.5mm)",$4.70,Tile
MX138,ANTIQUE CREMA MARFIL 6X6 TUMBLED,6x6,Tumbled,"3/8"" (8.5mm)",$4.70,Tile
MX267,ANTIQUE TUNDRA GREY 4X4 TUMBLED,4x4,Tumbled,"3/8"" (8.5mm)",$4.25,Tile
MX370,BARDIGLIO IMPERIAL POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$16.50,Slab
MX428,BARDIGLIO NUVOLATO HONED 12X24,12x24,Honed,"3/8"" (8.5mm)",$10.75,Tile
MX621,BARDIGLIO NUVOLATO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$19.25,Slab
MX868,BIANCO LAVINIA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$15.00,Slab
MX407,BIANCO MARE 3X6 DEEP BEVELED POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$6.75,Subway tile
MX331,BIANCO MARE 3X6 HONED SUBWAY,3x6,Honed,"3/8"" (8.5mm)",$3.95,Subway tile
MX330,BIANCO MARE 3X6 POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$3.95,Subway tile
MX332,BIANCO MARE 6X6 HONED,6x6,Honed,"3/8"" (8.5mm)",$3.95,Tile
MX514,BOTTICINO CLASSICO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$14.30,Slab
MX126,BOTTOCINO FIORITO POLISHED 12X12,12x12,Polished,"3/8"" (8.5mm)",$8.00,Tile
MX760,BOTTOCINO FIORITO POLISHED 18X18,18x18,Polished,"3/8"" (8.5mm)",$9.65,Tile
MX508,BOTTOCINO FIORITO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$13.20,Slab
MXSTP-2,BRECCIA GRIGIO 3X6 POLISHED SUBWAY,3x6,Polished,"3/8"" (8.5mm)",$5.25,Subway tile
MX238,BRECCIA GRIGIO BRUSHED MARBLE SLAB,Slab,Brushed,"3/4"" (20mm)",$12.00,Slab
MX245,BRECCIA GRIGIO HONED 12X12,12x12,Honed,"3/8"" (8.5mm)",$6.50,Tile
MX294,BRECCIA GRIGIO HONED 12X24,12x24,Honed,"1/2""",$7.00,Tile
MX235,BRECCIA GRIGIO HONED 18X18,18x18,Honed,"1/2""",$6.75,Tile
MX360,BRECCIA GRIGIO HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$12.00,Slab
MX234,BRECCIA GRIGIO POLISHED 12X12,12x12,Polished,"3/8"" (8.5mm)",$6.50,Tile
MX244,BRECCIA GRIGIO POLISHED 18X18,18x18,Polished,"1/2""",$6.75,Tile
MX237,BRECCIA GRIGIO POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.00,Slab
MX363,BRECCIA GRIGIO RED POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$12.00,Slab
MX317,BRECCIA ONICIATA POLISHED 12X12,12x12,Polished,"1/2""",$10.20,Tile
MX764,BRECCIA ONICIATA POLISHED 18X18,18x18,Polished,"3/8"" (8.5mm)",$12.40,Tile
MX509,BRECCIA ONICIATA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$14.85,Slab
MX873,CALACATTA BELGIA HONED MARBLE SLAB,Slab,Honed,"3/4"" (20mm)",$52.00,Slab
MX874,CALACATTA BELGIA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$52.00,Slab
MX870,CALACATTA BLUETTE POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$40.00,Slab
MX890,CALACATTA BORGINI POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$85.00,Slab
MX620,CALACATTA CALDIA POLISHED MARBLE SLAB,Slab,Polished,"3/4"" (20mm)",$57.50,Slab
MX304,CALACATTA GOLD 12X12 HONED,12x12,Honed,"3/8"" (8.5mm)",$17.25,Tile
MX303,CALACATTA GOLD 12X12 POLISHED ,12x12,Polished,"3/8"" (8.5mm)",$17.25,Tile
MX107,CALACATTA GOLD 12X24 HONED,12x24,Honed,"3/8"" (8.5mm)",$23.00,Tile
MX109,CALACATTA GOLD 12X24 POLISHED,12x24,Polished,"3/8"" (8.5mm)",$23.00,Tile
MX105,CALACATTA GOLD 12X6 HONED,6x12,Honed,"3/8"" (8.5mm)",$17.25,Tile
MX103,CALACATTA GOLD 12X6 POLISHED,6x12,Polished,"3/8"" (8.5mm)",$17.25,Tile
MX743,CALACATTA GOLD 18X18 HONED,18x18,Honed,"1/2""",$24.00,Tile
MX741,CALACATTA GOLD 18X18 POLISHED,18x18,Polished,"1/2""",$24.00,Tile
