vendor,product_name,collection,variant_name,product_color,conflicting_url_color,asset_type,url
Arizona Tile,Black,Ardesia,"24x48, Matte",black,grey,lifestyle,https://arizonatile.widen.net/content/hunw59pvwr/webp/MyHome_Ardesia_Grey_Matte_12x24_Kitchen-Scene_A.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Ardesia,"24x48, R11 Finish",black,grey,lifestyle,https://arizonatile.widen.net/content/hunw59pvwr/webp/MyHome_Ardesia_Grey_Matte_12x24_Kitchen-Scene_A.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Ardesia,"2x2 Mosaic, Matte",black,grey,lifestyle,https://arizonatile.widen.net/content/hunw59pvwr/webp/MyHome_Ardesia_Grey_Matte_12x24_Kitchen-Scene_A.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,White,Arte,3x12,white,grey,alternate,https://arizonatile.widen.net/content/vehppd718t/webp/4X16-WARM-GREY-GLOSSY-ROOM.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Artistic Expression Blue,Artistic Expression,"10-1/4x12-1/2, Polished",blue,grey,alternate,https://arizonatile.widen.net/content/wblxxdxft6/webp/Artistic-Expression-Grey.webp?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Artistic Expression Grey,Artistic Expression,"10-1/4x12-1/2, Polished",grey,blue,alternate,https://arizonatile.widen.net/content/pu2z2wfmee/jpeg/Artistic-Expression-Blue.jpeg?w=765&h=765&position=c&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"24x24, Matte",black,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"24x48, Matte",black,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"24x48, R11 Finish",black,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"2x2 Mosaic, Matte",black,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"Hex16x18 Mesh, Matte",black,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Black,Canyon,"Straight Stack Mesh 1x24, Matte",black,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"24x24, Matte",brown,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"24x48, Matte",brown,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"24x48, R11 Finish",brown,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"2x2 Mosaic, Matte",brown,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"Hex16x18 Mesh, Matte",brown,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Canyon,"Straight Stack Mesh 1x24, Matte",brown,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"24x24, Matte",ivory,black,alternate,https://arizonatile.widen.net/content/ca2ml9z1uj/webp/Glam-Black-Matte-and-Canyon-Lobby.webp?w=765&h=765&keep=s&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"24x24, Matte",ivory,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"24x48, Matte",ivory,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"24x48, R11 Finish",ivory,grey,lifestyle,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"2x2 Mosaic, Matte",ivory,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"Hex16x18 Mesh, Matte",ivory,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Ivory,Canyon,"Straight Stack Mesh 1x24, Matte",ivory,grey,alternate,https://arizonatile.widen.net/content/h31nxc51xm/webp/CANYON-Grey.webp?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Castle Brick,2-1/2x10,brown,grey,alternate,https://arizonatile.widen.net/content/kbiu11n3cp/jpeg/Castle-Brick-Grey-Herringbone.jpeg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
Arizona Tile,Brown,Castle Brick,2-1/2x10,brown,red,alternate,https://arizonatile.widen.net/content/f3x7mvw4ny/jpeg/Castle-Brick-Red.jpg?w=765&h=765&keep=c&crop=yes&quality=80&x.app=portals
